building_name,detail_url,district,rent,thumbnailurl,page,agent_url,created_at,last_crawl,updated_at,num_flats,floor,estate,num_blocks,saleable_area,address,tel_qrcode,bedroom,bathroom,is_studio,estate_age,posted_days_age,has_view,has_open_view,has_sea_view,has_other_view,is_renovated,is_luxury_renovated,is_single_building,isin_school_network,has_clubhouse,is_appliances_included,is_mall_nearby,has_balcony
都會軒,https://www.28hse.com/rent/residential/property-1621285,紅磡,18500.0,https://i1.28hse.com/2021/03/202103101144053241831_thumb.jpg,1,https://www.28hse.com/agent/1518,2021-03-24,1618628506.655275,2021-03-24,662.0,mid,都會軒九龍 紅磡屋苑樓齡: 18 年顯示都會軒屋苑的更多資料,2.0,485.0,都會道8-9號https://i1.28hse.com/2021/03/20210316110130Mc1f1yMbJRzJ_desktop.jpg ,/assets/img/image.png,2.0,1.0,False,18.0,24.0,True,True,False,False,False,False,False,False,False,False,False,False
半島豪庭,https://www.28hse.com/rent/residential/property-1592016,紅磡,28000.0,https://i1.28hse.com/2021/04/202104101708502759732_thumb.jpg,2,https://www.28hse.com/agent/1679,2021-03-21,1618628510.6943233,2021-04-10,669.0,mid,半島豪庭九龍 紅磡屋苑樓齡: 21 年顯示半島豪庭屋苑的更多資料,5.0,760.0,紅荔道8號https://i1.28hse.com/2021/03/202103161152152JPpuUuddUPU_desktop.jpg ,/assets/img/image.png,2.0,2.0,False,21.0,27.0,True,True,False,True,True,True,False,False,False,True,False,False
環海‧東岸,https://www.28hse.com/rent/residential/property-1549564,紅磡,15500.0,https://i1.28hse.com/2021/03/202103202044364499274_thumb.jpg,2,https://www.28hse.com/agent/1033,2021-03-19,1618628514.2704206,2021-04-04,1008.0,mid,環海‧東岸九龍 紅磡屋苑樓齡: 2 年顯示環海‧東岸屋苑的更多資料,3.0,310.0,"祟安街23號https://maps.googleapis.com/maps/api/staticmap?center=22.311220,114.188873&zoom=18&language=zh-HK®ion=hk&size=380x150&maptype=roadmap&markers=color:red%7Clabel:%7C22.311220,114.188873&key=AIzaSyC5AJvAzZWLSH5-cnZU78r0EMs1SE7rLkE&signature=Kdx_rMcvdeyau_j16RQCVBUoqmA= ",/assets/img/image.png,1.0,1.0,False,2.0,29.0,True,True,True,False,True,True,False,False,True,False,True,True
半島豪庭,https://www.28hse.com/rent/residential/property-1678654,紅磡,38000.0,https://i1.28hse.com/2021/04/202104170621037528203_thumb.jpg,2,https://www.28hse.com/agent/1209,2021-04-17,1618628517.3251414,2021-04-17,669.0,mid,半島豪庭九龍 紅磡顯示半島豪庭屋苑的更多資料,5.0,1009.0,紅荔道8號https://i1.28hse.com/2021/04/20210417062108cL4CAjB1w7cV_desktop.jpg ,/assets/img/image.png,3.0,1.0,False,20.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False
環海‧東岸,https://www.28hse.com/rent/residential/property-1656821,紅磡,13800.0,https://i1.28hse.com/2021/04/202104162322595970985_thumb.jpg,2,https://www.28hse.com/agent/1623,2021-04-02,1618628520.14649,2021-04-16,1008.0,unknown,環海‧東岸九龍 紅磡屋苑樓齡: 3 年顯示環海‧東岸屋苑的更多資料,3.0,312.0,祟安街23號https://i1.28hse.com/2021/04/20210416112509L9Eh5B8pnyY3_desktop.jpg ,/assets/img/image.png,1.0,1.0,False,3.0,15.0,True,False,True,False,True,True,False,False,True,False,False,True
環海‧東岸,https://www.28hse.com/rent/residential/property-1661640,紅磡,9800.0,https://i1.28hse.com/2021/04/202104051519198263535_thumb.jpg,2,https://www.28hse.com/agent/1623,2021-04-05,1618628524.0927665,2021-04-16,1008.0,unknown,環海‧東岸九龍 紅磡屋苑樓齡: 2 年顯示環海‧東岸屋苑的更多資料,3.0,194.0,祟安街23號https://i1.28hse.com/2021/04/20210405031916Gqp9PC8SkegH_desktop.jpg ,/assets/img/image.png,0.0,1.0,True,2.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False
環海‧東岸,https://www.28hse.com/rent/residential/property-1678545,紅磡,13800.0,https://i1.28hse.com/2021/04/202104162228136854103_thumb.jpg,2,https://www.28hse.com/agent/1599,2021-04-16,1618628527.0542238,2021-04-16,1008.0,mid,環海‧東岸九龍 紅磡屋苑樓齡: 1 年顯示環海‧東岸屋苑的更多資料,3.0,312.0,祟安街23號https://i1.28hse.com/2021/04/20210416102808Mn4gxg6q6mQe_desktop.jpg ,/assets/img/image.png,1.0,1.0,False,1.0,17.0,True,True,False,False,False,False,False,False,True,False,False,True
環海‧東岸,https://www.28hse.com/rent/residential/property-1678543,紅磡,17000.0,https://i1.28hse.com/2021/04/202104162227303849512_thumb.jpg,2,https://www.28hse.com/agent/1599,2021-04-16,1618628529.5935946,2021-04-16,1008.0,high,環海‧東岸九龍 紅磡屋苑樓齡: 1 年顯示環海‧東岸屋苑的更多資料,3.0,375.0,祟安街23號https://i1.28hse.com/2021/04/20210416102724FNNJCLXffJQE_desktop.jpg ,/assets/img/image.png,1.0,1.0,False,1.0,17.0,True,False,True,False,False,False,False,False,True,False,False,True
海逸豪園,https://www.28hse.com/rent/residential/property-1678434,紅磡,31800.0,https://i1.28hse.com/2021/04/202104162021057576894_thumb.jpg,2,https://www.28hse.com/agent/1209,2021-04-16,1618628532.7765872,2021-04-16,4735.0,mid,海逸豪園九龍 紅磡顯示海逸豪園屋苑的更多資料,25.0,871.0,海逸道8號https://i1.28hse.com/2021/04/20210416082110WAddTXNBvnhD_desktop.jpg ,/assets/img/image.png,3.0,1.0,False,20.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False
時盛大廈,https://www.28hse.com/rent/residential/property-1678365,紅磡,12000.0,https://i1.28hse.com/2021/04/202104161939261406662_thumb.jpg,2,https://www.28hse.com/agent/643,2021-04-16,1618628536.1102135,2021-04-16,30.0,mid,時盛大廈九龍 紅磡屋苑樓齡: 28 年顯示時盛大廈屋苑的更多資料,1.0,274.0,蕪湖街141-145號https://i1.28hse.com/2021/04/20210416074043NQq4hBzpMXxC_desktop.jpg ,/assets/img/image.png,2.0,1.0,False,28.0,17.0,False,False,False,False,False,False,True,False,False,False,False,False
聯盛大廈,https://www.28hse.com/rent/residential/property-1642824,紅磡,11500.0,https://i1.28hse.com/2021/03/20210324133602561840_thumb.jpg,2,https://www.28hse.com/agent/643,2021-03-24,1618628538.6936507,2021-04-16,936.0,mid,聯盛大廈九龍 紅磡屋苑樓齡: 49 年顯示聯盛大廈屋苑的更多資料,4.0,287.0,湖光街5號https://i1.28hse.com/2021/03/20210324013624G1GtwAPBB2z5_desktop.jpg ,/assets/img/image.png,2.0,1.0,False,49.0,24.0,False,False,False,False,False,False,True,False,False,False,False,False
環海‧東岸,https://www.28hse.com/rent/residential/property-1665431,紅磡,11500.0,https://i1.28hse.com/2021/04/202104081345214557663_thumb.jpg,2,,2021-04-08,1618628541.6882148,2021-04-16,1008.0,mid,環海‧東岸九龍 紅磡座數及單位: 1B座 中層 H室屋苑樓齡: 3 年顯示環海‧東岸屋苑的更多資料,3.0,192.0,祟安街23號https://i1.28hse.com/2021/04/20210416071417rXe675fYex1w_desktop.jpg ,/assets/img/image.png,0.0,1.0,True,3.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False
協輝大廈,https://www.28hse.com/rent/residential/property-1678282,紅磡,11000.0,https://i1.28hse.com/2021/04/202104161901304883336_thumb.jpg,2,https://www.28hse.com/agent/467,2021-04-16,1618628544.3632932,2021-04-16,64.0,mid,協輝大廈九龍 紅磡屋苑樓齡: 28 年顯示協輝大廈屋苑的更多資料,1.0,290.0,差館里9號https://i1.28hse.com/2021/04/20210416070252rbrr9Ct6uuur_desktop.jpg ,/assets/img/image.png,1.0,1.0,False,28.0,17.0,True,True,False,False,True,True,True,False,False,True,False,False
unknown,https://www.28hse.com/rent/residential/property-1662024,紅磡,16800.0,https://i1.28hse.com/2021/04/202104051841127750360_thumb.jpg,2,https://www.28hse.com/agent/719,2021-04-05,1618628547.0385842,2021-04-16,1008.0,high,紅磡單幢樓房Hung Hom Single Building九龍 紅磡,1.0,616.0,紅磡 紅磡單幢樓房,/assets/img/image.png,3.0,2.0,False,18.0,12.0,False,False,False,False,False,False,True,False,False,False,False,False
unknown,https://www.28hse.com/rent/residential/property-1673865,紅磡,14500.0,https://i1.28hse.com/2021/04/202104132147217388590_thumb.jpg,2,https://www.28hse.com/agent/719,2021-04-13,1618628550.000542,2021-04-16,1008.0,mid,紅磡單幢樓房Hung Hom Single Building九龍 紅磡,1.0,392.0,紅磡 紅磡單幢樓房,/assets/img/image.png,2.0,1.0,False,18.0,4.0,False,False,False,False,True,False,True,False,False,True,False,False
海逸豪園,https://www.28hse.com/rent/residential/property-1678121,紅磡,31800.0,/assets/img/loadingphoto170_125.jpg,2,https://www.28hse.com/agent/1771,2021-04-16,1618628552.902805,2021-04-16,4735.0,high,海逸豪園九龍 紅磡屋苑樓齡: 20 年顯示海逸豪園屋苑的更多資料,25.0,898.0,海逸道8號https://i1.28hse.com/2021/04/20210416060512rScmfE9dEkrK_desktop.jpg ,/assets/img/image.png,4.0,2.0,False,20.0,17.0,True,True,True,False,False,False,False,False,False,False,False,False
半島豪庭,https://www.28hse.com/rent/residential/property-1678034,紅磡,38000.0,https://i1.28hse.com/2021/04/202104161737035149663_thumb.jpg,3,https://www.28hse.com/agent/2661,2021-04-16,1618628556.0795395,2021-04-16,669.0,mid,半島豪庭九龍 紅磡屋苑樓齡: 21 年顯示半島豪庭屋苑的更多資料,5.0,1009.0,紅荔道8號https://i1.28hse.com/2021/04/20210416053813YmyggseSDza3_desktop.jpg ,/assets/img/image.png,3.0,2.0,False,21.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False
蕪湖居,https://www.28hse.com/rent/residential/property-1661633,紅磡,10800.0,https://i1.28hse.com/2021/04/202104161510501265381_thumb.jpg,3,https://www.28hse.com/agent/598,2021-04-05,1618628558.9429967,2021-04-16,100.0,mid,蕪湖居九龍 紅磡屋苑樓齡: 9 年顯示蕪湖居屋苑的更多資料,1.0,227.0,蕪湖街111號https://i1.28hse.com/2021/04/20210416030857VHn4NArz1vzA_desktop.jpg ,/assets/img/image.png,0.0,1.0,True,9.0,12.0,True,True,False,True,True,True,True,False,False,False,False,False
半島豪庭,https://www.28hse.com/rent/residential/property-1677980,紅磡,36000.0,https://i1.28hse.com/2021/04/202104161721183179752_thumb.jpg,3,https://www.28hse.com/agent/1209,2021-04-16,1618628561.5012193,2021-04-16,669.0,mid,半島豪庭九龍 紅磡顯示半島豪庭屋苑的更多資料,5.0,1009.0,紅荔道8號https://i1.28hse.com/2021/04/20210416052122ZvZsSMBhCKfJ_desktop.jpg ,/assets/img/image.png,3.0,1.0,False,20.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False
半島豪庭,https://www.28hse.com/rent/residential/property-1677923,紅磡,38000.0,https://i1.28hse.com/2021/04/202104161704547398469_thumb.jpg,3,https://www.28hse.com/agent/1771,2021-04-16,1618628564.7342598,2021-04-16,669.0,mid,半島豪庭九龍 紅磡屋苑樓齡: 20 年顯示半島豪庭屋苑的更多資料,5.0,1009.0,紅荔道8號https://i1.28hse.com/2021/04/20210416050459XgqWyYG5T5Ya_desktop.jpg ,/assets/img/image.png,4.0,3.0,False,20.0,17.0,False,False,False,False,True,True,False,False,False,False,False,False
環海‧東岸,https://www.28hse.com/rent/residential/property-1666211,紅磡,14200.0,https://i1.28hse.com/2021/04/202104081901358106631_thumb.jpg,3,https://www.28hse.com/agent/598,2021-04-08,1618628568.2229204,2021-04-16,1008.0,high,環海‧東岸九龍 紅磡屋苑樓齡: 3 年顯示環海‧東岸屋苑的更多資料,3.0,285.0,祟安街23號https://i1.28hse.com/2021/04/20210408070129GwFpGZTc8caE_desktop.jpg ,/assets/img/image.png,1.0,1.0,False,3.0,9.0,True,True,True,False,True,True,True,True,True,False,True,True
環海‧東岸,https://www.28hse.com/rent/residential/property-1668448,紅磡,10500.0,https://i1.28hse.com/2021/04/202104162338102127023_thumb.jpg,3,https://www.28hse.com/agent/1623,2021-04-10,1618628570.7812693,2021-04-16,1008.0,high,環海‧東岸九龍 紅磡屋苑樓齡: 1 年顯示環海‧東岸屋苑的更多資料,3.0,194.0,祟安街23號https://i1.28hse.com/2021/04/20210410122517Z1c3C2zZgeR1_desktop.jpg ,/assets/img/image.png,0.0,1.0,True,1.0,7.0,True,False,True,False,True,True,False,False,True,False,True,False
都會軒,https://www.28hse.com/rent/residential/property-1671137,紅磡,17000.0,https://i1.28hse.com/2021/04/202104131727591901546_thumb.jpg,3,https://www.28hse.com/agent/739,2021-04-12,1618628573.4089494,2021-04-16,662.0,high,都會軒九龍 紅磡屋苑樓齡: 16 年顯示都會軒屋苑的更多資料,2.0,472.0,都會道8-9號https://i1.28hse.com/2021/04/20210412010852ZBtY3rjkSARZ_desktop.jpg ,/assets/img/image.png,2.0,1.0,False,16.0,5.0,True,True,False,True,True,True,False,False,False,False,False,False
半島豪庭,https://www.28hse.com/rent/residential/property-1653064,紅磡,30000.0,https://i1.28hse.com/2021/03/202103302121097610931_thumb.jpg,3,https://www.28hse.com/agent/1209,2021-03-30,1618628576.1889055,2021-04-16,669.0,mid,半島豪庭九龍 紅磡顯示半島豪庭屋苑的更多資料,5.0,677.0,紅荔道8號https://i1.28hse.com/2021/03/202103300921143XE579MbZRs4_desktop.jpg ,/assets/img/image.png,3.0,1.0,False,20.0,18.0,False,False,False,False,False,False,False,False,False,False,False,False
悅目,https://www.28hse.com/rent/residential/property-1655760,紅磡,18800.0,https://i1.28hse.com/2021/04/202104011701295515313_thumb.jpg,3,,2021-04-01,1618628582.2356875,2021-04-16,216.0,high,悅目九龍 紅磡座數及單位: 21A屋苑樓齡: 6 年顯示悅目屋苑的更多資料,1.0,431.0,利工街9號https://i1.28hse.com/2021/04/20210401051539AwWMq7bP9Xqn_desktop.jpg ,/assets/img/image.png,2.0,1.0,False,6.0,16.0,True,True,False,True,True,True,True,False,False,False,False,False
黃埔唐樓,https://www.28hse.com/rent/residential/property-1677632,紅磡,10500.0,https://i1.28hse.com/2021/04/202104161521423310749_thumb.jpg,3,https://www.28hse.com/agent/467,2021-04-16,1618628585.236528,2021-04-16,514.0,high,黃埔唐樓九龍 紅磡座數及單位: A座屋苑樓齡: 54 年顯示黃埔唐樓屋苑的更多資料,1.0,250.0,明安街15號https://i1.28hse.com/2021/04/20210416032216UzGBnsxMrAsN_desktop.jpg ,/assets/img/image.png,2.0,1.0,False,54.0,17.0,True,True,False,False,True,True,False,False,False,True,False,False
半島豪庭,https://www.28hse.com/rent/residential/property-1670505,紅磡,38000.0,https://i1.28hse.com/2021/04/20210411182147506513_thumb.jpg,3,https://www.28hse.com/agent/3162,2021-04-11,1618628588.9305449,2021-04-16,669.0,high,半島豪庭九龍 紅磡屋苑樓齡: 20 年顯示半島豪庭屋苑的更多資料,5.0,920.0,紅荔道8號https://i1.28hse.com/2021/04/20210411062242XJTzEZ2Stt3G_desktop.jpg ,/assets/img/image.png,3.0,2.0,False,20.0,6.0,True,True,False,False,True,True,False,False,False,False,False,False
海逸豪園,https://www.28hse.com/rent/residential/property-1670513,紅磡,51000.0,https://i1.28hse.com/2021/04/202104111829134187304_thumb.jpg,3,https://www.28hse.com/agent/3162,2021-04-11,1618628592.0965285,2021-04-16,4735.0,high,海逸豪園九龍 紅磡屋苑樓齡: 20 年顯示海逸豪園屋苑的更多資料,25.0,964.0,海逸道8號https://i1.28hse.com/2021/04/20210411062948cPYUFLh3KqUm_desktop.jpg ,/assets/img/image.png,5.0,3.0,False,20.0,6.0,True,True,True,False,True,True,False,True,True,False,True,False
都會軒,https://www.28hse.com/rent/residential/property-1675333,紅磡,59000.0,https://i1.28hse.com/2021/04/202104142027274928510_thumb.jpg,3,https://www.28hse.com/agent/3162,2021-04-14,1618628595.3391633,2021-04-16,662.0,high,都會軒九龍 紅磡屋苑樓齡: 18 年顯示都會軒屋苑的更多資料,2.0,1347.0,都會道8-9號https://i1.28hse.com/2021/04/20210414082900eDMYN3qeZrzM_desktop.jpg ,/assets/img/image.png,4.0,2.0,False,18.0,3.0,True,True,True,False,True,True,False,True,False,False,True,False
半島豪庭,https://www.28hse.com/rent/residential/property-1675374,紅磡,40000.0,https://i1.28hse.com/2021/04/202104142111273467387_thumb.jpg,3,https://www.28hse.com/agent/3162,2021-04-14,1618628597.7998369,2021-04-16,669.0,high,半島豪庭九龍 紅磡屋苑樓齡: 20 年顯示半島豪庭屋苑的更多資料,5.0,1017.0,紅荔道8號https://i1.28hse.com/2021/04/20210414091152rNYu7XbJMEbp_desktop.jpg ,/assets/img/image.png,3.0,2.0,False,20.0,3.0,True,True,True,False,True,True,False,False,False,False,False,False
半島豪庭,https://www.28hse.com/rent/residential/property-1675380,紅磡,38000.0,https://i1.28hse.com/2021/04/20210414211616980161_thumb.jpg,4,https://www.28hse.com/agent/3162,2021-04-14,1618628602.0201213,2021-04-16,669.0,high,半島豪庭九龍 紅磡屋苑樓齡: 20 年顯示半島豪庭屋苑的更多資料,5.0,924.0,紅荔道8號https://i1.28hse.com/2021/04/202104140916304AHC6VZBfY7S_desktop.jpg ,/assets/img/image.png,3.0,2.0,False,20.0,3.0,True,True,True,False,True,True,False,False,False,False,False,False
晉匯,https://www.28hse.com/rent/residential/property-1677432,紅磡,9300.0,https://i1.28hse.com/2021/04/202104161349043595249_thumb.jpg,4,https://www.28hse.com/agent/380,2021-04-16,1618628604.4524095,2021-04-16,1008.0,high,晉匯九龍 紅磡,1.0,150.0,漆咸道北411號https://i1.28hse.com/2021/04/202104160149118aQq21MrwJuU_desktop.jpg ,/assets/img/image.png,0.0,1.0,True,18.0,17.0,False,False,False,False,True,True,True,False,False,False,False,False
半島豪庭,https://www.28hse.com/rent/residential/property-1670153,紅磡,38000.0,https://i1.28hse.com/2021/04/20210411153558868468_thumb.jpg,4,https://www.28hse.com/agent/749,2021-04-11,1618628607.9434633,2021-04-16,669.0,high,半島豪庭九龍 紅磡屋苑樓齡: 20 年顯示半島豪庭屋苑的更多資料,5.0,1061.0,紅荔道8號https://i1.28hse.com/2021/04/20210411033644nhZsQB851GfR_desktop.jpg ,/assets/img/image.png,0.0,1.0,False,20.0,6.0,True,False,True,True,False,False,False,False,False,False,False,False
環海‧東岸,https://www.28hse.com/rent/residential/property-1667209,紅磡,17500.0,https://i1.28hse.com/2021/04/202104161838426113734_thumb.jpg,4,https://www.28hse.com/agent/1033,2021-04-09,1618628610.7688956,2021-04-16,1008.0,high,環海‧東岸九龍 紅磡屋苑樓齡: 3 年顯示環海‧東岸屋苑的更多資料,3.0,352.0,祟安街23號https://i1.28hse.com/2021/04/20210409040013sFrSN3qdubxJ_desktop.jpg ,/assets/img/image.png,2.0,1.0,False,3.0,8.0,True,True,True,False,False,False,False,False,False,False,False,False
單幢樓房,https://www.28hse.com/rent/residential/property-1649109,紅磡,11500.0,https://i1.28hse.com/2021/03/202103281251267229927_thumb.jpg,4,https://www.28hse.com/agent/574,2021-03-28,1618628613.2787306,2021-04-16,1008.0,high,單幢樓房九龍 紅磡屋苑樓齡: 30 年,1.0,314.0,崇安街17號https://i1.28hse.com/2021/03/20210328125217H4Xx8pp148Ba_desktop.jpg ,/assets/img/image.png,2.0,1.0,False,30.0,20.0,False,False,False,False,True,True,False,False,False,False,False,False
單幢樓房,https://www.28hse.com/rent/residential/property-1650235,紅磡,15000.0,https://i1.28hse.com/2021/03/202103291241087853561_thumb.jpg,4,https://www.28hse.com/agent/574,2021-03-29,1618628616.2472801,2021-04-16,1008.0,high,單幢樓房九龍 紅磡屋苑樓齡: 48 年,1.0,501.0,崇潔街91號https://i1.28hse.com/2021/03/20210329124145q3FEmCUMwK7C_desktop.jpg ,/assets/img/image.png,2.0,1.0,False,48.0,19.0,True,True,False,True,True,True,False,False,False,False,False,False
unknown,https://www.28hse.com/rent/residential/property-1575984,紅磡,11000.0,https://i1.28hse.com/2021/03/202103261105295969091_thumb.jpg,4,https://www.28hse.com/agent/574,2021-04-16,1618628618.8543878,2021-04-16,1008.0,mid,陽光廣場SUNSHINE PLAZA九龍 紅磡屋苑樓齡: 30 年,1.0,318.0,崇安街17號https://i1.28hse.com/2021/03/20210317120937ANVfWaWS2qX9_desktop.jpg ,/assets/img/image.png,2.0,1.0,False,30.0,17.0,True,False,False,True,False,False,False,False,False,False,False,False
環海‧東岸,https://www.28hse.com/rent/residential/property-1677311,紅磡,17000.0,https://i1.28hse.com/2021/04/202104161238201617943_thumb.jpg,4,https://www.28hse.com/agent/1033,2021-04-16,1618628621.8227706,2021-04-16,1008.0,mid,環海‧東岸九龍 紅磡屋苑樓齡: 3 年顯示環海‧東岸屋苑的更多資料,3.0,375.0,祟安街23號https://i1.28hse.com/2021/04/20210416123830THqdzWpbDUYN_desktop.jpg ,/assets/img/image.png,1.0,1.0,False,3.0,17.0,True,False,True,False,False,False,False,False,False,False,False,False
黃埔唐樓,https://www.28hse.com/rent/residential/property-1677291,紅磡,6800.0,https://i1.28hse.com/2021/04/202104161226264270315_thumb.jpg,4,https://www.28hse.com/agent/467,2021-04-16,1618628625.027154,2021-04-16,514.0,low,黃埔唐樓九龍 紅磡座數及單位: A屋苑樓齡: 54 年顯示黃埔唐樓屋苑的更多資料,1.0,200.0,明安街15號https://i1.28hse.com/2021/04/20210416122744z47JLSGUPxnx_desktop.jpg ,/assets/img/image.png,1.0,1.0,False,54.0,17.0,True,False,False,True,False,False,False,False,False,False,False,False
富運大廈,https://www.28hse.com/rent/residential/property-1669762,紅磡,9800.0,https://i1.28hse.com/2021/04/202104111143213467685_thumb.jpg,4,https://www.28hse.com/agent/1736,2021-04-11,1618628628.1059105,2021-04-16,188.0,mid,富運大廈九龍 紅磡屋苑樓齡: 40 年顯示富運大廈屋苑的更多資料,2.0,217.0,漆咸道北436-450號https://i1.28hse.com/2021/04/20210411114316kTLVGAVK7DeV_desktop.jpg ,/assets/img/image.png,1.0,1.0,False,40.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False
